X1,X2,X3,X4,X5,X6,OUTPUT
1,1652,1353,2729104,1830609,2235156,30
1,1985,1409,3940225,1985281,2796865,30
1,2311,1455,5340721,2117025,3362505,30
1,2636,1506,6948496,2268036,3969816,30
1,2964,1552,8785296,2408704,4600128,30
1,3289,1608,10817521,2585664,5288712,30
1,3609,1659,13024881,2752281,5987331,30
1,3938,1710,15507844,2924100,6733980,30
1,1652,1740,2729104,3027600,2874480,50
1,1985,1792,3940225,3211264,3557120,50
1,2311,1843,5340721,3396649,4259173,50
1,2636,1898,6948496,3604404,5003128,50
1,2964,1945,8785296,3783025,5764980,50
1,3289,1993,10817521,3972049,6554977,50
1,3609,2047,13024881,4190209,7387623,50
1,3938,2092,15507844,4376464,8238296,50
1,1652,2129,2729104,4532641,3517108,70
1,1985,2183,3940225,4765489,4333255,70
1,2311,2231,5340721,4977361,5155841,70
1,2636,2280,6948496,5198400,5098080,70
1,2964,2333,8785296,5442889,6915012,70
1,3289,2384,10817521,5683456,7840976,70
1,3609,2438,13024881,5943844,8798742,70
1,3938,2485,15507844,6175225,9785930,70
1,1652,2517,2729104,6335289,4158084,90
1,1985,2568,3940225,6594624,5097480,90
1,2311,2615,5340721,6838225,6043265,90
1,2636,2670,6948496,7128900,7038120,90
1,2964,2726,8785296,7431076,8079864,90
1,3289,2772,10817521,7683984,9117108,90
1,3609,2822,13024881,7963684,10184598,90
1,3938,2876,15507844,8271376,11325688,90
1,1652,2905,2729104,8439025,4799060,110
1,1985,2956,3940225,8737936,5867660,110
1,2311,3009,5340721,9054081,6953799,110
1,2636,3058,6948496,9351364,8060888,110
1,2964,3109,8785296,9665881,9215076,110
1,3289,3166,10817521,10023556,10712974,110
1,3609,3211,13024881,10310521,11588499,110
1,3938,3364,15507844,11316496,13247432,110
1,1652,3290,2729104,10824100,5435080,130
1,1985,3348,3940225,11209104,6645780,130
1,2311,3395,5340721,11526025,7845845,130
1,2636,3446,6948496,11874916,9083656,130
1,2964,3490,8785296,12180100,10239660,130
1,3289,3548,10817521,12588304,11669372,130
1,3609,3599,13024881,12952801,12988791,130
1,3938,3659,15507844,13388281,14409142,130
1,1652,3681,2729104,13549761,6081012,150
1,1985,3732,3940225,13927824,7408020,150
1,2311,3789,5340721,14356521,8756379,150
1,2636,3836,6948496,14714896,10111696,150
1,2964,3885,8785296,15093225,11515140,150
1,3289,3930,10817521,15444900,12925770,150
1,3609,3987,13024881,15896169,14389083,150
1,3938,4040,15507844,16321600,15909520,150
